Category,Subcategory,Product Title,Price,Rating,Product URL
Electronics,Mobiles,"Redmi A4 5G (Starry Black, 4GB RAM, 128GB Storage) | Global Debut SD 4s Gen 2 | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging",9499,3.9,https://www.amazon.in/Redmi-A4-5G-Storage-Charging/dp/B0DLW4QD72/ref=sr_1_1?dib=eyJ2IjoiMSJ9.VCGDh_2fhH91hDNMHhlsFqByoisDm1YQ6QsXoeLt92A5cAT-Wl-T-3krOfyDpW_g8uDoSM2MmQf8nT_u4IdpGt2otqearusIL3QsSyX9axqo1A9J0lKJLX2SZgtwvffJSAFdBIldv4NIeD_TdD67qzQynnLoqKm8mohTL1Aq2IQYcfDwAiWGxecrt7kDq7DjZ6_IUYpkCv5pPg8Bq7U0lUsaf-I2QZxCkYjftyM3uyU.Zg9UGwHrrwxR15x89q9zNfaJKfVmpez_oV4YRXO8_wI&dib_tag=se&keywords=mobiles&qid=1747504771&sr=8-1
Electronics,Mobiles,"Samsung Galaxy M05 (Mint Green, 4GB RAM, 64 GB Storage) | 50MP Dual Camera | Bigger 6.7"" HD+ Display | 5000mAh Battery | 25W Fast Charging | 2 Gen OS Upgrade & 4 Year Security Update | Without Charger",6499,4,https://www.amazon.in/Samsung-Storage-Display-Charging-Security/dp/B0DFY3XCB6/ref=sr_1_2?dib=eyJ2IjoiMSJ9.VCGDh_2fhH91hDNMHhlsFqByoisDm1YQ6QsXoeLt92A5cAT-Wl-T-3krOfyDpW_g8uDoSM2MmQf8nT_u4IdpGt2otqearusIL3QsSyX9axqo1A9J0lKJLX2SZgtwvffJSAFdBIldv4NIeD_TdD67qzQynnLoqKm8mohTL1Aq2IQYcfDwAiWGxecrt7kDq7DjZ6_IUYpkCv5pPg8Bq7U0lUsaf-I2QZxCkYjftyM3uyU.Zg9UGwHrrwxR15x89q9zNfaJKfVmpez_oV4YRXO8_wI&dib_tag=se&keywords=mobiles&qid=1747504771&sr=8-2
Electronics,Mobiles,"iQOO Z9 Lite 5G (Mocha Brown, 6GB RAM, 128GB Storage) | Dimensity 6300 5G | 50MP Sony AI Camera | Charger in The Box",11499,4.1,https://www.amazon.in/iQOO-Storage-Dimensity-Camera-Charger/dp/B07WHQS4LB/ref=sr_1_3?dib=eyJ2IjoiMSJ9.VCGDh_2fhH91hDNMHhlsFqByoisDm1YQ6QsXoeLt92A5cAT-Wl-T-3krOfyDpW_g8uDoSM2MmQf8nT_u4IdpGt2otqearusIL3QsSyX9axqo1A9J0lKJLX2SZgtwvffJSAFdBIldv4NIeD_TdD67qzQynnLoqKm8mohTL1Aq2IQYcfDwAiWGxecrt7kDq7DjZ6_IUYpkCv5pPg8Bq7U0lUsaf-I2QZxCkYjftyM3uyU.Zg9UGwHrrwxR15x89q9zNfaJKfVmpez_oV4YRXO8_wI&dib_tag=se&keywords=mobiles&qid=1747504771&sr=8-3
Electronics,Mobiles,"realme NARZO N61 (Voyage Blue,6GB RAM+128GB Storage) 90Hz Eye Comfort Display | IP54 Dust & Water Resistance | 48-Month Fluency | Charger in The Box",8498,4,https://www.amazon.in/realme-Storage-Comfort-Resistance-48-Month/dp/B0D947DTLT/ref=sr_1_4?dib=eyJ2IjoiMSJ9.VCGDh_2fhH91hDNMHhlsFqByoisDm1YQ6QsXoeLt92A5cAT-Wl-T-3krOfyDpW_g8uDoSM2MmQf8nT_u4IdpGt2otqearusIL3QsSyX9axqo1A9J0lKJLX2SZgtwvffJSAFdBIldv4NIeD_TdD67qzQynnLoqKm8mohTL1Aq2IQYcfDwAiWGxecrt7kDq7DjZ6_IUYpkCv5pPg8Bq7U0lUsaf-I2QZxCkYjftyM3uyU.Zg9UGwHrrwxR15x89q9zNfaJKfVmpez_oV4YRXO8_wI&dib_tag=se&keywords=mobiles&qid=1747504771&sr=8-4
Electronics,Mobiles,"OnePlus Nord CE4 Lite 5G (Super Silver, 8GB RAM, 128GB Storage)",17998,4.1,https://www.amazon.in/OnePlus-Super-Silver-128GB-Storage/dp/B0D5YCYS1G/ref=sr_1_5?dib=eyJ2IjoiMSJ9.VCGDh_2fhH91hDNMHhlsFqByoisDm1YQ6QsXoeLt92A5cAT-Wl-T-3krOfyDpW_g8uDoSM2MmQf8nT_u4IdpGt2otqearusIL3QsSyX9axqo1A9J0lKJLX2SZgtwvffJSAFdBIldv4NIeD_TdD67qzQynnLoqKm8mohTL1Aq2IQYcfDwAiWGxecrt7kDq7DjZ6_IUYpkCv5pPg8Bq7U0lUsaf-I2QZxCkYjftyM3uyU.Zg9UGwHrrwxR15x89q9zNfaJKfVmpez_oV4YRXO8_wI&dib_tag=se&keywords=mobiles&qid=1747504771&sr=8-5
Electronics,Mobiles,"Samsung Galaxy M06 5G (Sage Green, 6GB RAM, 128 GB Storage) | MediaTek Dimensity 6300 | AnTuTu Score 422K+ | 12 5G Bands| 25W Fast Charging | 4 Gen. of OS Upgrades | Without Charger",9999,3.6,https://www.amazon.in/Samsung-MediaTek-Dimensity-Charging-Upgrades/dp/B0DX655V11/ref=sr_1_6?dib=eyJ2IjoiMSJ9.VCGDh_2fhH91hDNMHhlsFqByoisDm1YQ6QsXoeLt92A5cAT-Wl-T-3krOfyDpW_g8uDoSM2MmQf8nT_u4IdpGt2otqearusIL3QsSyX9axqo1A9J0lKJLX2SZgtwvffJSAFdBIldv4NIeD_TdD67qzQynnLoqKm8mohTL1Aq2IQYcfDwAiWGxecrt7kDq7DjZ6_IUYpkCv5pPg8Bq7U0lUsaf-I2QZxCkYjftyM3uyU.Zg9UGwHrrwxR15x89q9zNfaJKfVmpez_oV4YRXO8_wI&dib_tag=se&keywords=mobiles&qid=1747504771&sr=8-6
Electronics,Mobiles,"Redmi 13 5G, Black Diamond, 8GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment",13999,4,https://www.amazon.in/Redmi-Diamond-Largest-Display-Segment/dp/B0D78Y577J/ref=sr_1_7?dib=eyJ2IjoiMSJ9.VCGDh_2fhH91hDNMHhlsFqByoisDm1YQ6QsXoeLt92A5cAT-Wl-T-3krOfyDpW_g8uDoSM2MmQf8nT_u4IdpGt2otqearusIL3QsSyX9axqo1A9J0lKJLX2SZgtwvffJSAFdBIldv4NIeD_TdD67qzQynnLoqKm8mohTL1Aq2IQYcfDwAiWGxecrt7kDq7DjZ6_IUYpkCv5pPg8Bq7U0lUsaf-I2QZxCkYjftyM3uyU.Zg9UGwHrrwxR15x89q9zNfaJKfVmpez_oV4YRXO8_wI&dib_tag=se&keywords=mobiles&qid=1747504771&sr=8-7
Electronics,Mobiles,"Redmi A4 5G (Sparkle Purple, 4GB RAM, 128GB Storage) | Global Debut SD 4s Gen 2 | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging",9499,3.9,https://www.amazon.in/Redmi-Sparkle-Storage-Segment-Charging/dp/B0DLW44CGS/ref=sr_1_8?dib=eyJ2IjoiMSJ9.VCGDh_2fhH91hDNMHhlsFqByoisDm1YQ6QsXoeLt92A5cAT-Wl-T-3krOfyDpW_g8uDoSM2MmQf8nT_u4IdpGt2otqearusIL3QsSyX9axqo1A9J0lKJLX2SZgtwvffJSAFdBIldv4NIeD_TdD67qzQynnLoqKm8mohTL1Aq2IQYcfDwAiWGxecrt7kDq7DjZ6_IUYpkCv5pPg8Bq7U0lUsaf-I2QZxCkYjftyM3uyU.Zg9UGwHrrwxR15x89q9zNfaJKfVmpez_oV4YRXO8_wI&dib_tag=se&keywords=mobiles&qid=1747504771&sr=8-8
Electronics,Mobiles,"realme GT 6T 5G (Fluid Silver,8GB RAM+256GB Storage) | India's 1st 7+ Gen 3 Flagship Chipset | 1.5M + AnTuTu Score | 5500mAh+120W | The World's Brightest Flagship Display",24998,4.3,https://www.amazon.in/realme-Storage-Flagship-Chipset-Brightest/dp/B0D3J9FN5C/ref=sr_1_9?dib=eyJ2IjoiMSJ9.VCGDh_2fhH91hDNMHhlsFqByoisDm1YQ6QsXoeLt92A5cAT-Wl-T-3krOfyDpW_g8uDoSM2MmQf8nT_u4IdpGt2otqearusIL3QsSyX9axqo1A9J0lKJLX2SZgtwvffJSAFdBIldv4NIeD_TdD67qzQynnLoqKm8mohTL1Aq2IQYcfDwAiWGxecrt7kDq7DjZ6_IUYpkCv5pPg8Bq7U0lUsaf-I2QZxCkYjftyM3uyU.Zg9UGwHrrwxR15x89q9zNfaJKfVmpez_oV4YRXO8_wI&dib_tag=se&keywords=mobiles&qid=1747504771&sr=8-9
Electronics,Mobiles,"realme NARZO N61 (Voyage Blue,4GB RAM+64GB Storage) 90Hz Eye Comfort Display | IP54 Dust & Water Resistance | 48-Month Fluency | Charger in The Box",7498,4,https://www.amazon.in/realme-Storage-Comfort-Resistance-48-Month/dp/B0D945V84N/ref=sr_1_10?dib=eyJ2IjoiMSJ9.VCGDh_2fhH91hDNMHhlsFqByoisDm1YQ6QsXoeLt92A5cAT-Wl-T-3krOfyDpW_g8uDoSM2MmQf8nT_u4IdpGt2otqearusIL3QsSyX9axqo1A9J0lKJLX2SZgtwvffJSAFdBIldv4NIeD_TdD67qzQynnLoqKm8mohTL1Aq2IQYcfDwAiWGxecrt7kDq7DjZ6_IUYpkCv5pPg8Bq7U0lUsaf-I2QZxCkYjftyM3uyU.Zg9UGwHrrwxR15x89q9zNfaJKfVmpez_oV4YRXO8_wI&dib_tag=se&keywords=mobiles&qid=1747504771&sr=8-10
